Steps,Policy/Entropy,Environment/Episode Length,Environment/Lesson,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,2.12371,40.27160493827161,0.0,18.508642,-0.8466355343741819,-0.8466355343741819,1.0
20000,2.1143625,43.355555555555554,0.0,18.356112,-0.8571991152233548,-0.8571991152233548,1.0
30000,2.1367579,44.527272727272724,0.0,12.23222,-0.8360236371105367,-0.8360236371105367,1.0
40000,2.1148877,46.82857142857143,0.0,12.239468,-0.7963177017047645,-0.7963177017047645,1.0
50000,2.1355672,44.36529680365297,0.0,9.843467,-0.8055653008696151,-0.8055653008696151,1.0
60000,2.1623275,44.20454545454545,0.0,9.380558,-0.8057567508102538,-0.8057567508102538,1.0
70000,2.2085576,44.22171945701358,0.0,8.014384,-0.7960307754542493,-0.7960307754542493,1.0
80000,2.2235065,45.31481481481482,0.0,7.6459103,-0.7865361132555537,-0.7865361132555537,1.0
90000,2.2319834,46.44761904761905,0.0,6.588284,-0.7887696702898396,-0.7887696702898396,1.0
100000,2.2560172,44.949771689497716,0.0,6.256347,-0.793255043822691,-0.793255043822691,1.0
110000,2.2682343,46.03791469194313,0.0,5.7524285,-0.7756509361964352,-0.7756509361964352,1.0
120000,2.2432091,48.05882352941177,0.0,5.672559,-0.7543147049990355,-0.7543147049990355,1.0
130000,2.2471752,46.81428571428572,0.0,5.0114026,-0.7450323729288011,-0.7450323729288011,1.0
140000,2.2674985,48.04926108374384,0.0,4.6568747,-0.7397607813278834,-0.7397607813278834,1.0
150000,2.2650738,45.31336405529954,0.0,3.887398,-0.7657546303062527,-0.7657546303062527,1.0
160000,2.2436404,50.05154639175258,0.0,3.677083,-0.6907183643506498,-0.6907183643506498,1.0
170000,2.2612588,49.381909547738694,0.0,3.0751708,-0.7258803976241068,-0.7258803976241068,1.0
180000,2.2587764,48.663366336633665,0.0,2.6073744,-0.7126217789874219,-0.7126217789874219,1.0
190000,2.248408,48.994974874371856,0.0,2.553442,-0.7070159906148911,-0.7070159906148911,1.0
200000,2.2427733,51.44210526315789,0.0,2.3260272,-0.6722785328071155,-0.6722785328071155,1.0
210000,2.2635212,49.85279187817259,0.0,2.1530368,-0.684963447037082,-0.684963447037082,1.0
220000,2.2610805,52.91935483870968,0.0,2.0422502,-0.661726475567431,-0.661726475567431,1.0
230000,2.2605639,50.3041237113402,0.0,1.9633554,-0.6918420522640913,-0.6918420522640913,1.0
240000,2.235125,50.765625,0.0,1.8174583,-0.6473201947199866,-0.6473201947199866,1.0
250000,2.223738,56.44571428571429,0.0,1.5963562,-0.5969177072388785,-0.5969177072388785,1.0
260000,2.261496,56.566473988439306,0.0,1.4400694,-0.5947248430954928,-0.5947248430954928,1.0
270000,2.2495365,53.086486486486486,0.0,1.1760116,-0.6374875626048526,-0.6374875626048526,1.0
280000,2.2410076,55.20786516853933,0.0,1.0860361,-0.5951123530610224,-0.5951123530610224,1.0
290000,2.2461872,50.895833333333336,0.0,1.0036138,-0.6395958501440255,-0.6395958501440255,1.0
300000,2.1836822,55.94318181818182,0.0,0.7978845,-0.5904477147216146,-0.5904477147216146,1.0
310000,2.1892223,52.424731182795696,0.0,0.73645574,-0.620397842539254,-0.620397842539254,1.0
320000,2.1663141,53.45108695652174,0.0,0.520928,-0.6165347706688487,-0.6165347706688487,1.0
330000,2.1862986,56.72254335260116,0.0,0.5165391,-0.5804416013590862,-0.5804416013590862,1.0
340000,2.1449447,56.354285714285716,0.0,0.4680786,-0.5769588366576603,-0.5769588366576603,1.0
350000,2.121521,58.61764705882353,0.0,0.34675896,-0.5657505899308676,-0.5657505899308676,1.0
360000,2.1422055,57.082352941176474,0.0,0.24273258,-0.574378142069126,-0.574378142069126,1.0
370000,2.1210008,56.13513513513514,0.0,0.25495812,-0.5659410205879652,-0.5659410205879652,1.0
380000,2.110765,57.6125,0.0,0.13710625,-0.5806473836388891,-0.5806473836388891,1.0
390000,2.085271,57.43386243386244,0.0,0.122218415,-0.5609052510637986,-0.5609052510637986,1.0
400000,2.0989544,56.66451612903226,0.0,-0.027247427,-0.5687988290207924,-0.5687988290207924,1.0
410000,2.143947,60.3680981595092,0.0,0.015633209,-0.5242183833765838,-0.5242183833765838,1.0
420000,2.0913517,59.987730061349694,0.0,-0.09989514,-0.5242365649560603,-0.5242365649560603,1.0
430000,2.0618324,57.98203592814371,0.0,-0.13372852,-0.547079496534474,-0.547079496534474,1.0
440000,2.0663736,59.30952380952381,0.0,-0.124579996,-0.547738440819746,-0.547738440819746,1.0
450000,2.0621638,58.873493975903614,0.0,-0.15771301,-0.5593281265147432,-0.5593281265147432,1.0
460000,2.0692337,58.63690476190476,0.0,-0.2451742,-0.559235697523469,-0.559235697523469,1.0
470000,2.0390282,57.92397660818713,0.0,-0.21719584,-0.5495976302553626,-0.5495976302553626,1.0
480000,2.0339901,62.78064516129032,0.0,-0.2249362,-0.49612433100358033,-0.49612433100358033,1.0
490000,2.0792778,60.8625,0.0,-0.25568348,-0.5302124816924334,-0.5302124816924334,1.0
500000,2.0652628,59.74096385542169,0.0,-0.29578736,-0.5154383004068614,-0.5154383004068614,1.0
510000,2.0795765,61.59748427672956,0.0,-0.29829746,-0.5021144391605689,-0.5021144391605689,1.0
520000,2.075791,62.29113924050633,0.0,-0.32171658,-0.4840822496180293,-0.4840822496180293,1.0
530000,2.0867753,62.025,0.0,-0.30986106,-0.4655237141996622,-0.4655237141996622,1.0
540000,2.0631258,69.72535211267606,0.0,-0.3339061,-0.403712013089065,-0.403712013089065,1.0
550000,2.036625,63.03921568627451,0.0,-0.35681123,-0.4824012622430727,-0.4824012622430727,1.0
560000,2.0697124,64.59868421052632,0.0,-0.3620213,-0.4258597061618582,-0.4258597061618582,1.0
570000,1.9920732,64.28571428571429,0.0,-0.3725594,-0.4832339589697084,-0.4832339589697084,1.0
580000,1.9518231,68.17482517482517,0.0,-0.33420527,-0.4358964745814984,-0.4358964745814984,1.0
590000,1.9989601,61.54601226993865,0.0,-0.35045227,-0.46975211680301127,-0.46975211680301127,1.0
600000,2.0194547,67.93055555555556,0.0,-0.32222414,-0.39877217614816296,-0.39877217614816296,1.0
610000,2.0141792,70.86131386861314,0.0,-0.3106015,-0.4032466705263096,-0.4032466705263096,1.0
620000,2.0369174,68.21621621621621,0.0,-0.33568895,-0.40954590105527156,-0.40954590105527156,1.0
630000,2.0760295,66.37931034482759,0.0,-0.31937826,-0.38938488862285875,-0.38938488862285875,1.0
640000,2.0739815,64.15584415584415,0.0,-0.3274594,-0.44752982403937874,-0.44752982403937874,1.0
650000,2.0689466,70.9290780141844,0.0,-0.2910268,-0.37283257960427735,-0.37283257960427735,1.0
660000,2.0394793,71.53333333333333,0.0,-0.31200594,-0.3628690637209836,-0.3628690637209836,1.0
670000,2.0481224,79.46774193548387,0.0,-0.2887819,-0.30180316105965643,-0.30180316105965643,1.0
680000,2.0577664,76.8076923076923,0.0,-0.2700076,-0.3137534353160119,-0.3137534353160119,1.0
690000,2.0582333,82.98319327731092,0.0,-0.24455969,-0.21500501011387776,-0.21500501011387776,1.0
700000,2.0589178,77.96031746031746,0.0,-0.27852717,-0.291407808074801,-0.291407808074801,1.0
710000,2.0244799,78.83064516129032,0.0,-0.22274455,-0.29287896257254387,-0.29287896257254387,1.0
720000,2.029707,74.29850746268657,0.0,-0.22782885,-0.3461491950412295,-0.3461491950412295,1.0
730000,2.0117087,82.66949152542372,0.0,-0.2359162,-0.20349991372076132,-0.20349991372076132,1.0
740000,2.002355,89.56637168141593,0.0,-0.19610646,-0.15236784180380264,-0.15236784180380264,1.0
750000,1.9712777,81.37704918032787,0.0,-0.2662058,-0.2594262798165166,-0.2594262798165166,1.0
760000,1.9712105,86.025,0.0,-0.23926036,-0.1995746893388731,-0.1995746893388731,1.0
770000,2.0194707,90.81443298969072,0.0,-0.18484734,-0.151766268449409,-0.151766268449409,1.0
780000,2.0104513,103.20408163265306,0.0,-0.20824812,-0.010997828134556407,-0.010997828134556407,1.0
790000,1.9619331,91.25,0.0,-0.12298406,-0.13783294646018143,-0.13783294646018143,1.0
800000,1.9897412,98.11538461538461,0.0,-0.13777962,-0.08312342082168542,-0.08312342082168542,1.0
810000,1.9561526,89.87155963302752,0.0,-0.16850044,-0.14107738394994992,-0.14107738394994992,1.0
820000,1.997369,91.4622641509434,0.0,-0.1641186,-0.13451124530918193,-0.13451124530918193,1.0
830000,1.9896245,92.07476635514018,0.0,-0.18031712,-0.13917187287985722,-0.13917187287985722,1.0
840000,2.0101583,97.86138613861387,0.0,-0.16967598,-0.02506460877610188,-0.02506460877610188,1.0
850000,1.9905024,87.14285714285714,0.0,-0.17834456,-0.15454766838937192,-0.15454766838937192,1.0
860000,1.9744326,93.62962962962963,0.0,-0.17079288,-0.10413017513555124,-0.10413017513555124,1.0
870000,1.9873159,94.55140186915888,0.0,-0.17689209,-0.07141121772100341,-0.07141121772100341,1.0
880000,1.9736427,92.6952380952381,0.0,-0.17366269,-0.10241133244264694,-0.10241133244264694,1.0
890000,1.9972111,96.8019801980198,0.0,-0.153234,-0.021773909330368043,-0.021773909330368043,1.0
900000,1.9959623,96.4040404040404,0.0,-0.13918313,-0.01836189329624176,-0.01836189329624176,1.0
910000,1.9494617,91.81818181818181,0.0,-0.12286417,-0.11540536826307124,-0.11540536826307124,1.0
920000,1.9633242,100.9795918367347,0.0,-0.116277024,-0.04556757151478469,-0.04556757151478469,1.0
930000,1.9632711,125.59493670886076,0.0,-0.1001432,0.29880265463143585,0.29880265463143585,1.0
940000,1.9864973,91.8785046728972,0.0,-0.081156336,-0.10169991401006591,-0.10169991401006591,1.0
950000,1.9865998,107.52173913043478,0.0,-0.10002072,0.08211099583169688,0.08211099583169688,1.0
960000,1.9402972,106.3763440860215,0.0,-0.093040586,0.06313843200815485,0.06313843200815485,1.0
970000,1.9555799,102.86021505376344,0.0,-0.094785295,0.03795010369756947,0.03795010369756947,1.0
980000,1.9408101,113.6590909090909,0.0,-0.0776091,0.16669226563378667,0.16669226563378667,1.0
990000,1.9457785,107.13684210526316,0.0,-0.0809598,0.08485118378984167,0.08485118378984167,1.0
1000000,1.9115306,108.18085106382979,0.0,-0.07022899,0.08490116533480192,0.08490116533480192,1.0
1010000,1.9007591,105.26436781609195,0.0,-0.090465,-0.020813844578210696,-0.020813844578210696,1.0
1020000,1.9545735,122.88372093023256,0.0,-0.08078047,0.3386116534814067,0.3386116534814067,1.0
1030000,1.9346561,98.66326530612245,0.0,-0.07432678,-0.03801826767775477,-0.03801826767775477,1.0
1040000,1.922335,114.22619047619048,0.0,-0.0008577603,0.16777845750372095,0.16777845750372095,1.0
1050000,1.9337981,115.24418604651163,0.0,0.013871933,0.1348140887742819,0.1348140887742819,1.0
1060000,1.8771763,110.22916666666667,0.0,0.04490872,0.13130527719394447,0.13130527719394447,1.0
1070000,1.8776137,100.68888888888888,0.0,0.046060495,0.000528201125980763,0.000528201125980763,1.0
1080000,1.8864623,119.73563218390805,0.0,0.017357389,0.23601377619938416,0.23601377619938416,1.0
1090000,1.9248022,121.3132530120482,0.0,0.023876846,0.26942210553622825,0.26942210553622825,1.0
1100000,1.9200468,121.06410256410257,0.0,0.02371195,0.2593376416712999,0.2593376416712999,1.0
1110000,1.9381317,104.46601941747574,0.0,0.0008100706,0.05103023077851983,0.05103023077851983,1.0
1120000,1.9188625,112.63157894736842,0.0,0.003655091,0.10267454766949942,0.10267454766949942,1.0
1130000,1.9156698,110.78301886792453,0.0,-0.049192473,0.1876414444135583,0.1876414444135583,1.0
1140000,1.9428589,109.76923076923077,0.0,0.06123578,0.04694142516540444,0.04694142516540444,1.0
1150000,1.9284667,125.975,0.0,0.05324121,0.34836265034973624,0.34836265034973624,1.0
1160000,1.9271402,136.63888888888889,0.0,0.10757655,0.4540790491540667,0.4540790491540667,1.0
1170000,1.93019,111.42222222222222,0.0,0.087488726,0.12740456809600195,0.12740456809600195,1.0
1180000,1.927603,121.93827160493827,0.0,0.14720072,0.2610440639460959,0.2610440639460959,1.0
1190000,1.9104105,117.9493670886076,0.0,0.16776307,0.20175399000828081,0.20175399000828081,1.0
1200000,1.9070945,122.32051282051282,0.0,0.04990171,0.24440776207779027,0.24440776207779027,1.0
1210000,1.8885881,122.67469879518072,0.0,0.03753804,0.2622411261840039,0.2622411261840039,1.0
1220000,1.881858,137.44155844155844,0.0,0.044966493,0.4291281763712565,0.4291281763712565,1.0
1230000,1.8902724,109.30588235294118,0.0,0.015565263,0.14762540110226335,0.14762540110226335,1.0
1240000,1.8613572,139.2394366197183,0.0,0.09914142,0.5080537023678632,0.5080537023678632,1.0
1250000,1.8752584,117.93103448275862,0.0,0.09166742,0.20275594350383724,0.20275594350383724,1.0
1260000,1.8749121,130.83333333333334,0.0,0.1851711,0.40504067268552657,0.40504067268552657,1.0
1270000,1.8685173,107.88764044943821,0.0,0.2196011,0.03194168929973345,0.03194168929973345,1.0
1280000,1.9081981,115.66666666666667,0.0,0.033447936,0.24083348221722103,0.24083348221722103,1.0
1290000,1.9062456,146.4,0.0,-0.00046872115,0.6299448150854844,0.6299448150854844,1.0
1300000,1.8754163,119.05747126436782,0.0,-0.023734793,0.18491968375512924,0.18491968375512924,1.0
1310000,1.8981695,123.75280898876404,0.0,0.030642765,0.2913417198349921,0.2913417198349921,1.0
1320000,1.9336203,127.62857142857143,0.0,0.082950994,0.3789544578109469,0.3789544578109469,1.0
1330000,1.9089141,124.63855421686748,0.0,0.041544303,0.29478306868454307,0.29478306868454307,1.0
1340000,1.9265047,112.80459770114942,0.0,0.13210295,0.1575192494338818,0.1575192494338818,1.0
1350000,1.8920816,127.66233766233766,0.0,0.1660344,0.3384054307090609,0.3384054307090609,1.0
1360000,1.8668786,119.60975609756098,0.0,0.17963795,0.2414989500160677,0.2414989500160677,1.0
1370000,1.8933917,129.0375,0.0,0.17977072,0.37033767364919185,0.37033767364919185,1.0
1380000,1.8934596,138.6969696969697,0.0,0.22995959,0.45168501996632776,0.45168501996632776,1.0
1390000,1.8666823,125.47560975609755,0.0,0.3037846,0.3069318721934063,0.3069318721934063,1.0
1400000,1.8794712,126.88461538461539,0.0,0.29397967,0.33466770161281933,0.33466770161281933,1.0
1410000,1.8819274,124.67948717948718,0.0,0.30251825,0.3230052454562127,0.3230052454562127,1.0
1420000,1.8975117,140.29166666666666,0.0,0.3395521,0.5327196311619546,0.5327196311619546,1.0
1430000,1.8914086,142.28169014084506,0.0,0.3626629,0.5472931656199442,0.5472931656199442,1.0
1440000,1.8896351,132.86486486486487,0.0,0.3647727,0.4892741466221744,0.4892741466221744,1.0
1450000,1.900821,150.203125,0.0,0.3546259,0.6359486742453142,0.6359486742453142,1.0
1460000,1.9179097,136.63636363636363,0.0,0.31880033,0.41025809551540177,0.41025809551540177,1.0
1470000,1.8687712,111.72151898734177,0.0,0.2833127,0.18597764074802398,0.18597764074802398,1.0
1480000,1.87639,145.013698630137,0.0,0.30597085,0.6036087732229914,0.6036087732229914,1.0
1490000,1.8620952,155.11111111111111,0.0,0.12528394,0.5876323288040501,0.5876323288040501,1.0
1500000,1.8735563,152.44,0.0,0.10682122,0.851825960619109,0.851825960619109,1.0
1510000,1.8742238,142.77611940298507,0.0,0.03071074,0.44703904870483613,0.44703904870483613,1.0
1520000,1.8847866,153.53521126760563,0.0,0.045596134,0.6189668749769529,0.6189668749769529,1.0
1530000,1.8942827,134.421875,0.0,-0.1382029,0.5350859318460737,0.5350859318460737,1.0
1540000,1.8793354,162.39655172413794,0.0,-0.09622474,0.8560634014899271,0.8560634014899271,1.0
1550000,1.8742187,155.43478260869566,0.0,-0.23529886,0.7982523825721465,0.7982523825721465,1.0
1560000,1.8727287,155.96875,0.0,-0.241101,0.7137017777332892,0.7137017777332892,1.0
1570000,1.9015781,148.70149253731344,0.0,-0.0057798657,0.6323517362276713,0.6323517362276713,1.0
1580000,1.8701878,154.08928571428572,0.0,-0.005965892,0.7122352839561931,0.7122352839561931,1.0
1590000,1.9099741,170.75757575757575,0.0,0.09305184,0.8968063172968951,0.8968063172968951,1.0
1600000,1.8978385,139.41666666666666,0.0,0.08744596,0.5490142820586621,0.5490142820586621,1.0
1610000,1.8970535,123.9625,0.0,0.010411774,0.3391359755654394,0.3391359755654394,1.0
1620000,1.9063463,167.3728813559322,0.0,0.0013673815,0.7622967881375345,0.7622967881375345,1.0
1630000,1.8960319,139.17910447761193,0.0,0.0370805,0.4855207936728702,0.4855207936728702,1.0
1640000,1.8613405,154.63636363636363,0.0,0.061421532,0.7008032640724471,0.7008032640724471,1.0
1650000,1.8852878,166.71428571428572,0.0,0.10081069,0.8395002592475184,0.8395002592475184,1.0
1660000,1.8721992,161.54545454545453,0.0,0.118948534,0.7833675037730824,0.7833675037730824,1.0
1670000,1.8542209,159.0441176470588,0.0,0.1464279,0.7253799246273179,0.7253799246273179,1.0
1680000,1.8660642,175.96226415094338,0.0,0.14127792,0.8635039594438341,0.8635039594438341,1.0
1690000,1.8444068,160.39285714285714,0.0,0.06628556,0.9217230332525153,0.9217230332525153,1.0
1700000,1.8388145,192.6851851851852,0.0,0.002168564,1.2475743967073936,1.2475743967073936,1.0
1710000,1.8301957,196.9777777777778,0.0,0.14700447,1.301955877410041,1.301955877410041,1.0
1720000,1.8184311,194.9090909090909,0.0,0.21363571,1.1696424011075706,1.1696424011075706,1.0
1730000,1.8036572,218.65217391304347,0.0,0.25224566,1.5523916210817255,1.5523916210817255,1.0
1740000,1.8190349,163.75,0.0,0.20732434,0.8856035875777404,0.8856035875777404,1.0
1750000,1.7978079,176.13793103448276,0.0,0.35022792,0.9908984894292396,0.9908984894292396,1.0
1760000,1.8073983,207.17777777777778,0.0,0.49001327,1.422117719831674,1.422117719831674,1.0
1770000,1.7837393,206.26,0.0,0.41160345,1.3702492957212487,1.3702492957212487,1.0
1780000,1.7575573,195.90196078431373,0.0,0.32158378,1.3578630843583275,1.3578630843583275,1.0
1790000,1.7518636,189.79166666666666,0.0,0.3310082,1.2265431503860318,1.2265431503860318,1.0
1800000,1.7126819,206.71698113207546,0.0,0.31547493,1.3964342784206822,1.3964342784206822,1.0
1810000,1.739435,194.3469387755102,0.0,0.34694156,1.2565711420029402,1.2565711420029402,1.0
1820000,1.7517726,225.6818181818182,0.0,0.3464433,1.8122786199269088,1.8122786199269088,1.0
1830000,1.7403939,213.3125,0.0,0.31854072,1.567337858180205,1.567337858180205,1.0
1840000,1.7327983,186.0185185185185,0.0,0.3797228,1.1281966048258323,1.1281966048258323,1.0
1850000,1.7343135,166.53571428571428,0.0,0.39151835,0.9306353226042631,0.9306353226042631,1.0
1860000,1.7634009,205.46,0.0,0.7709903,1.403936312198639,1.403936312198639,1.0
1870000,1.7816694,225.61904761904762,0.0,0.78975326,1.5856442549606649,1.5856442549606649,1.0
1880000,1.7773873,232.83333333333334,0.0,0.9470535,1.787876027661401,1.787876027661401,1.0
1890000,1.789338,213.0655737704918,0.0,0.92229587,1.5601130881092764,1.5601130881092764,1.0
1900000,1.7885894,213.0909090909091,0.0,0.7653054,1.4899963164329528,1.4899963164329528,1.0
1910000,1.777397,228.13953488372093,0.0,0.74038047,1.8202468933061111,1.8202468933061111,1.0
1920000,1.7702965,187.6326530612245,0.0,0.69874996,1.221543134475241,1.221543134475241,1.0
